book_name,book_pic,book_score,book_type,comment_nums,author,publisher,publisher_address,book_price,book_description
我包罗万象,https://img1.doubanio.com/view/subject/s/public/s33445339.jpg,8.8,科技,1198,［英］埃德·扬/郑李,后浪丨北京联合出版公司,后浪丨北京联合,0,微生物视野下的生命图景全纪录令马克·扎克伯格与比尔·盖茨读到爱不释手的自然新史关于人类与微生物的矛盾冲突、共生合作与多边联盟《纽约时报》2016年备受... 
尸体变化图鉴,https://img9.doubanio.com/view/subject/s/public/s29912804.jpg,9.1,科技,1464,陈禄仕,贵州科技出版社,贵州科技,98,尸体变化图鉴》是陈禄仕教授及其团队数十年来锲而不舍地对法医学尸体变化研究的成果。《尸体变化图鉴》主要内容是通过观察、分析尸体的形态学变化与时间的关系，即通... 
技术与文明-我们的时代和未来,https://img1.doubanio.com/view/subject/s/public/s33841967.jpg,8.3,科技,124,张笑宇,一頁丨广西师范大学出版社,一頁丨广西师范大学,88,【编辑推荐】我们有石器时代的情感，中世纪的组织，却有着神一样的技术，这是最可怕的事情。.人与机器之间的边界，最危险之处并不在于机器能够变得多么像人，而... 
DK博物大百科-自然界的视觉盛宴,https://img3.doubanio.com/view/subject/s/public/s29928580.jpg,9.6,科技,473,英国DK公司 [编著]/王敏洁、朱坤、吴海峰、何长欢、张兴春、张劲硕、林然、郑浩然、姜景一,科学普及出版社,科学普及,0,美国史密森国家自然历史博物馆100周年纪念出版物。本书的出版是史密森博物院国家自然历史博物馆的一个里程碑，本书展示了对地球自然历史的无与伦比的视觉盛宴。清... 
打开一颗心-一位心外科医生手术台前的生死故事,https://img9.doubanio.com/view/subject/s/public/s29917146.jpg,9.1,科技,4438,[英] 斯蒂芬·韦斯塔比/高天羽,广西师范大学出版社,广西师范大学,0,“我经手过12000颗心脏。”作者在心外科暨胸外科从业数十年，手术成绩卓著。本书即汇集了作者经历的一些经典案例（多数发生在1970年代至2000年代之间），... 
复杂,https://img1.doubanio.com/view/subject/s/public/s27221967.jpg,9.0,科技,2547,梅拉妮·米歇尔/唐璐,湖南科学技术出版社,湖南科学技术,0,《复杂》内容简介：蚂蚁在组成群体时为何会表现出如此的精密性和具有目的性7数以亿计的神经元是如何产生出像意识这样极度复杂的事物7是什么在引导免疫系统、互联网、... 
规模-复杂世界的简单法则,https://img2.doubanio.com/view/subject/s/public/s29809453.jpg,8.0,科技,1917,杰弗里·韦斯特 (Geoffrey West)/张培,中信出版社,中信,0,生命体、城市、公司，乃至一切复杂万物，是否都存在相通的内在生长逻辑？制约生命与死亡、城市化的扩张及公司寿命的决定因素究竟是什么？人类能否通过融汇生物学、物理... 
什么是数学-对思想和方法的基本研究,https://img2.doubanio.com/view/subject/s/public/s27168352.jpg,9.3,科技,1138,R•柯朗、H•罗宾、I·斯图尔特/左平、张饴慈,复旦大学出版社,复旦大学,0,《什么是数学：对思想和方法的基本研究(第三版)》是世界著名的数学科普读物，它搜集了许多经典的数学珍品，对整个数学领域中的基本概念与方法，做了精深而生动的阐述... 
一想到还有95%的问题留给人类，我就放心了,https://img1.doubanio.com/view/subject/s/public/s32324687.jpg,8.5,科技,1344,[巴拿马] 豪尔赫•陈、[美] 丹尼尔·怀特森/苟利军、张晓佳、郝小楠,北京联合出版公司,北京联合,0,这是一本“逆向科普”的科普书。你以为你知道的事情，其实连世界顶尖科学家都不知道。这本书告诉你那些“顶尖科学家都不知道的事情” 。但这并非一本“答案”之书。本... 
信息传,https://img2.doubanio.com/view/subject/s/public/s33736812.jpg,8.5,科技,346,吴军,中信出版社,中信,99,70多年前，这个星球上极为聪明和智慧的头脑，时常聚集在纽约比克曼酒店，讨论后工业时代层次的科学问题，其中包括冯·诺伊曼、图灵、维纳和香农等人。在一次讨论中作... 
你一定爱读的极简欧洲史,https://img3.doubanio.com/view/subject/s/public/s4542951.jpg,8.2,科技,45957,[澳]约翰·赫斯特（John Hirst）/席玉苹,广西师范大学出版社,广西师范大学,0,“欧洲，为什么老是抢第一？”澳大利亚知名历史学家约翰•赫斯特在本书中的一场引人入胜的探索，为我们梳理出欧洲文明所以能改变全世界的各种特质。作者从三大元素：... 
怎样观察一棵树-探寻常见树木的非凡秘密,https://img1.doubanio.com/view/subject/s/public/s33303609.jpg,9.1,科技,790,[美] 南茜·罗斯·胡格（Nancy Ross Hugo）、[美] 罗伯特·卢埃林（Robert Llewellyn）,商务印书馆,商务印书馆,0,人人都知道树长什么样子，对吗？但你真的观察过红花槭上精巧的花朵吗？或是鹅掌楸正在萌发的嫩叶？水青冈的枝条？当你仔细观察一棵树时，一个被形状和细节填充的新世界... 
消失的微生物-滥用抗生素引发的健康危机,https://img1.doubanio.com/view/subject/s/public/s29702467.jpg,8.7,科技,1757,［美］马丁•布莱泽/傅贺、严青（校）,湖南科学技术出版社,湖南科学技术,0,为什么现在的孩子越来越高、越来越胖？为什么青少年糖尿病越来越多、发病年龄越来越小？为什么越来越多的现代人患上了哮喘、过敏性鼻炎以及五花八门的食物过敏？种种“... 
海鸟的哭泣-人们看不到的鸟类爱情与生活,https://img9.doubanio.com/view/subject/s/public/s33679445.jpg,9.2,科技,274,[英]亚当•尼科尔森 著；[英]凯特•博克瑟 绘/木草草,浦睿文化•湖南文艺出版社,浦睿文化•湖南文艺,0,◎ 杰出的自然主义非虚构作品◎《泰晤士报》《华盛顿邮报》年度好书◎ 荣获英国自然与旅行写作至高奖——温赖特奖----------------海鸟是海... 
生命进化的跃升-40亿年生命史上10个决定性突变,https://img3.doubanio.com/view/subject/s/public/s33662860.jpg,9.2,科技,137,[英] 尼克·莱恩/梅苃芢,文汇出版社,文汇,0,40亿年前，海底热泉偶然地成为你和其他生命的起源之地；之后，DNA的复制密码让你得以繁衍；直到光合作用制造出氧气，你才解决了能源问题；接着，复杂细胞让你的构... 
基因传-众生之源,https://img1.doubanio.com/view/subject/s/public/s29632929.jpg,8.6,科技,3739,[美] 悉达多·穆克吉/马向涛,中信出版社,中信,0,在整个20世纪，有三项颠覆性的科学概念和技术应用把人类社会引领到新的历史阶段：“原子”的发现带来物理学的革命，“字节”的发现带来互联网的革命，“基因”的发现... 
病者生存-疾病如何延续人类寿命,https://img9.doubanio.com/view/subject/s/public/s29793336.jpg,8.7,科技,1748,[美]沙龙·莫勒姆（Sharon Moalem）、[美]乔纳森·普林斯（Jonathan Prince）/程纪莲,中信出版集团·见识城邦,中信,0,日光浴能够降低胆固醇吗？为什么亚洲人喝酒容易脸红？为什么天冷的时候我们想撒尿？为什么地中海地区的人都有蚕豆病的遗传基因？“绝命毒师”老白从蓖麻里面提... 
给忙碌者的天体物理学,https://img1.doubanio.com/view/subject/s/public/s29791449.jpg,8.6,科技,2380,尼尔·德格拉斯·泰森/孙正凡,未读·探索家·北京联合出版公司,未读·探索家·北京联合,0,★全球现象级畅销书，上市仅一年畅销100万册，售出38国版权。★亚马逊2017科学类年度好书，《纽约时报》非虚构畅销榜榜首，Goodreads（美国豆瓣）... 
万物皆数,https://img2.doubanio.com/view/subject/s/public/s29917943.jpg,8.3,科技,1217,[法] 米卡埃尔·洛奈（Mickaël Launay）/孙佳雯,低音·北京联合出版公司,低音·北京联合,0,★★★已被译为英语、西班牙语、波兰语等6种语言法国亚马逊科学史分类第1名获法国数学期刊Tangente图书奖……………………◎ 编辑推荐★ 数学... 
心理学与生活,https://img3.doubanio.com/view/subject/s/public/s1068520.jpg,8.8,科技,17495,[美] 理查德·格里格、菲利普·津巴多/王垒、王甦 等,人民邮电出版社,人民邮电,0,《心理学与生活》是美国斯坦福大学多年来使用的教材，也是在美国许多大学里推广使用的经典教材，被ETS推荐为GRE心理学专项考试的主要参考用书，还是被许多国家大... 
十问-霍金沉思录,https://img1.doubanio.com/view/subject/s/public/s33537588.jpg,8.5,科技,1744,[英]史蒂芬·霍金/吴忠超,湖南科学技术出版社,湖南科学技术,0,物理学家史蒂芬•霍金最后的著作《十问：霍金沉思录》，这本书涉及他对科学与社会所面临的大问题的思考，包括“人类是否会一直在地球上生存下去？（可能不会）”“时间... 
怪诞行为学-可预测的非理性,https://img3.doubanio.com/view/subject/s/public/s29808391.jpg,8.1,科技,2262,［美］丹•艾瑞里/赵德亮、夏蓓洁,中信出版集团,中信,0,我们为什么会浪费丰盛晚宴中的精致食物，却对一张打折优惠餐券念念不忘?在做生活中的各种决策时，我们总是以为自己正在做出明智的、理性的选择。但是事实真的是这样... 
逛动物园是件正经事,https://img9.doubanio.com/view/subject/s/public/s33554965.jpg,8.5,科技,557,花蚀,2020-1-8,2020-1-8,98,编辑推荐：4个月，跨越整个中国；56座动物园，第一次全面探访；200多种动物，延伸新时代的认知；480分钟的阅读，带给你深入的思考；2亿话题量，我... 
有毒-从致命武器到救命解药，看地球致命毒物如何成为生化大师,https://img1.doubanio.com/view/subject/s/public/s33514479.jpg,8.6,科技,371,[美] 克丽丝蒂 • 威尔科克斯（Christie Wilcox）/阳曦,低音 • 北京联合出版公司,低音 • 北京联合,0,★★★《史密森》杂志2016年年度优秀科普书“科技艺术”网站2016年拓展大脑的12本非虚构图书之一这颗星球上的每一个物种都有自己的故事，演化的史诗中... 
时间的形状-相对论史话（升级版）,https://img2.doubanio.com/view/subject/s/public/s29389153.jpg,8.8,科技,3284,汪洁,2017-4,2017-4,48,一直以来，你一定会有这样的疑问：永恒流淌的时间，是真的摸不着看不见，还是有形状和终点？我们所处的空间，是三维四维还是五维？我们能不能踏上时光机，任意穿... 
半小时漫画经济学2：金融危机篇-金融危机篇,https://img3.doubanio.com/view/subject/s/public/s33489580.jpg,7.4,科技,3785,陈磊·半小时漫画团队,海南出版社,海南,52,在大多数读者的心目中，经济学都是专业、晦涩的代名词，但陈磊（笔名：二混子）领衔的半小时漫画团队，却通过手绘漫画和段子，一边用历史上著名的金融危机事件抖包袱，... 
所罗门王的指环,https://img3.doubanio.com/view/subject/s/public/s24229421.jpg,9.2,科技,2243,康拉德•洛伦茨/刘志良,中信出版社,中信,0,这不是一部童话故事，但却让你觉得所有童话中关于动物的拟人描写都是那么合情合理。因为洛伦茨告诉你：事实比任何贫瘠的想象都更出人意料、妙趣横生。★看似平和的鱼... 
万物简史,https://img2.doubanio.com/view/subject/s/public/s1171582.jpg,8.7,科技,9148,[美] 比尔·布莱森/严维明、陈邕,接力出版社,接力,0,这是一部有关现代科学发展史的既通俗易懂又引人入胜的书，作者用清晰明了、幽默风趣的笔法，将宇宙大爆炸到人类文明发展进程中所发生的繁多妙趣横生的故事一一收入笔下... 
世界观(原书第2版)-现代人必须要懂的科学哲学和科学史,https://img9.doubanio.com/view/subject/s/public/s29923715.jpg,8.9,科技,2718,[美]理查德·德威特/孙天,机械工业出版社,机械工业,0,从地心说到三大定律的跃迁，是人类世界观的一次次脱胎换骨！亚里士多德的世界观 以地球是宇宙中心为信条。牛顿世界观 把动者恒动当作真理。有没有可能我们现在... 
看不见的森林-林中自然笔记,https://img9.doubanio.com/view/subject/s/public/s27271096.jpg,9.0,科技,1596,[美] 戴维•乔治•哈斯凯尔,商务印书馆,商务印书馆,0,这是一本森林观测笔记。 在这本书里，一位生物学家以一年的时间为主线，在每次的观测中，为我们揭开藏森林一平方米地域里的秘密。 在这本完全原创的书里，生物学家戴... 
起源：NASA天文学家的万物解答,https://img3.doubanio.com/view/subject/s/public/s33804010.jpg,9.2,科技,14,(英) 巴赫拉姆 ·莫巴舍尔 (Bahram Mobasher)/李永学,湖南科学技术出版社,湖南科学技术,0,◎权威作者，专业视角：NASA天文学家的专业解答，以实践与理论研究的双重维度，探索从宇宙大爆炸到人类文明演进的数亿年历史。作者在美国NASA担任7年的天文... 
对伪心理学说不,https://img1.doubanio.com/view/subject/s/public/s7649177.jpg,9.1,科技,5132,基思•斯坦诺维奇/窦东徽、刘肖岑,人民邮电出版社,人民邮电,0,"《对""伪心理学""说不》第1版出版于1983年，20多年来一直被奉为心理学入门经典，在全球顶尖大学中享有盛誉，现在呈现在读者面前的是第8版。这本书并不同于一般... "
苏菲的世界,https://img9.doubanio.com/view/subject/s/public/s29580784.jpg,9.0,科技,4221,[挪威] 乔斯坦·贾德/萧宝森,作家出版社,作家,0,《苏菲的世界》这是一本风靡世界的哲学启蒙书。14岁的少女苏菲不断接到一些极不寻常的来信，世界像谜团一般在她眼底展开，她在一位神秘导师的指引下，苏菲开始思... 
生命是什么,https://img1.doubanio.com/view/subject/s/public/s29827949.jpg,8.8,科技,727,王立铭,人民邮电出版社,人民邮电,69,本书通过生动的文笔和有趣有料的生物学故事，揭开了生命科学神秘的面纱，不仅生动地解读了生命的定义及奥秘，而且详细地追溯了生命的起源和演化，展现 了人类探索生命... 
别闹了，费曼先生-科学顽童的故事,https://img9.doubanio.com/view/subject/s/public/s1027286.jpg,8.9,科技,9553,[美] 理查德·费曼,生活·读书·新知三联书店,生活·读书·新知三联书店,0,费曼得过诺贝尔奖，是现代最伟大的理论物理学家之一。但他同时也可能是历史上唯一被按摩院请去画裸体画、偷偷打开放着原子弹机密文件的保险箱，在巴西桑巴乐团担任鼓手... 
自私的基因-40周年增订版,https://img1.doubanio.com/view/subject/s/public/s29904968.jpg,8.3,科技,1507,[英] 理查德·道金斯/卢允中;张岱云;陈复加;罗小舟;叶盛,中信出版集团,中信,0,《自私的基因》于1976年首次出版之后便畅销全球，是20世纪百大经典名著之一，是一部不仅在基因领域更在社会科学领域具有重要影响力的经典作品。我们从哪里来，... 
宇宙,https://img9.doubanio.com/view/subject/s/public/s29469165.jpg,9.2,科技,903,[美]卡尔·萨根(Carl Sagan)/陈冬妮,广西科学技术出版社,广西科学技术,0,霍金、阿西莫夫钦佩的科普作家、普利策奖获得者卡尔·萨根历时三年精心创作BBC盛赞：20多年后，仍没有一本天文类书籍，甚至是一本科学类的书籍，能与《宇宙》的... 
疫苗竞赛-人类对抗疾病的代价,https://img9.doubanio.com/view/subject/s/public/s33677485.jpg,8.8,科技,181,梅雷迪丝·瓦德曼/罗爽,译林出版社,译林,0,疫苗问世难在哪里？问题疫苗危害有多大？如何实现有效监管？疫苗研发的历史，激荡着科学的坚守、医药巨头的角力、伦理的瓦解与重建，人类的命运随其沉浮南京大... 
网络是怎样连接的,https://img1.doubanio.com/view/subject/s/public/s29370067.jpg,9.1,科技,1349,[日]户根勤/周自恒,人民邮电出版社,人民邮电,0,本书以探索之旅的形式，从在浏览器中输入网址开始，一路追踪了到显示出网页内容为止的整个过程，以图配文，讲解了网络的全貌，并重点介绍了实际的网络设备和软件是如何... 
形式的起源,https://img9.doubanio.com/view/subject/s/public/s33855405.jpg,8.2,科技,17,[美] 克里斯托弗·威廉斯、Christopher Williams/王业瑾,后浪丨浙江教育出版社,后浪丨浙江教育,0,自然造物和人类造物的设计法则万物的形式遵循着怎样的设计法则？一起探究自然物和人造物的形式“是什么样”和“为何这样”☆ 大量案例的新颖解读，探讨设计的本... 
你看起来好像……我爱你-AI的工作原理以及它为这个世界带来的稀奇古怪,https://img9.doubanio.com/view/subject/s/public/s33855955.jpg,,科技,14,(美) 贾内尔·沙内/余天呈,中信出版社,中信,0,这是一本写给普通人了解AI的趣味科普，它还有超级可爱的漫画！-这本书“非常易读、有料，而且妙趣横生、令人捧腹”（《万物发明指南》作者瑞安·诺思），带领普... 
性的进化,https://img2.doubanio.com/view/subject/s/public/s33876683.jpg,7.4,科技,200,[美] 贾雷德·戴蒙德/魏薇,天津科学技术出版社,天津科学技术,0,男性为什么不哺乳？人类为什么会为了享乐而不是生育而性交？为什么只有人类女性会经历更年期？为什么人类男性会成为数不多的照顾后代的哺乳动物之一？……关... 
宇宙的琴弦-The Elegant Universe,https://img9.doubanio.com/view/subject/s/public/s29681275.jpg,9.2,科技,541,[美] 布赖恩·格林/李泳,湖南科学技术出版社,湖南科学技术,0,布莱恩•格林是当今世界领先的弦理论家之一，他十分精妙地把科学思想与写作融合起来。本书撩开了弦理论的神秘面纱，揭示了一个十一维的宇宙。那里，空间的纤维撕裂了又... 
照护-哈佛医师和阿尔茨海默病妻子的十年,https://img9.doubanio.com/view/subject/s/public/s33753104.jpg,9.1,科技,366,[美] 凯博文/姚灏,中信出版社,中信,0,阿尔茨海默病是什么？如果有一天家人突然不认识你了，你该如何应对，如何劝慰，如何照料？面对一场注定以“失败”告终的战斗，面对亲人终将失去理智、失去自我的结局，... 
荒诞医学史,https://img9.doubanio.com/view/subject/s/public/s29866665.jpg,7.9,科技,3888,莉迪亚•康、内特•彼得森/王秀莉、赵一杰,江西科学技术出版社,江西科学技术,0,通过放血来治愈失血，水银蒸气浴治疗梅毒，用发烫的烙铁烧掉痔疮，“爆菊法”拯救溺水的人，镭辐射水包治百病，吃土让你药到病除……作为一本讲述西方医学史上疾病荒... 
失敬，植物先生-它们很古老，其实它们很先进,https://img9.doubanio.com/view/subject/s/public/s33621504.jpg,8.3,科技,478,[意]斯特凡诺·曼库索/金佳音,新星出版社,新星,0,植物在宇宙间扮演的角色，其实远远超过人类的想象。它们出现于几亿年前，却早已指明了我们人类的未来。植物作为经过长期演化，且建构方式与动物全然不同的生物体，具有... 
惊呆了！原来这就是社会学,https://img9.doubanio.com/view/subject/s/public/s33890944.jpg,,科技,19,［日］田中正人、［日］香月孝史/刘晓晓,南海出版公司,南海,0,★ 懂点社会学，走出混沌的日常，理解社会与人生★ 76位社会学巨擘×135个社会学核心概念×400幅超可爱漫画上至学科奠基人奥古斯特·孔德、埃米尔·涂尔... 
寂静的春天,https://img3.doubanio.com/view/subject/s/public/s2812610.jpg,8.1,科技,4852,[美] 蕾切尔·卡森/吕瑞兰、李长生,上海译文出版社,上海译文,0,我们必须与其他生物共同分享我们的地球，为了解决这个问题，我们发明了许多新的、富于想象力和创造性的方法；随着这一形势的发展，一个要反复提及的话题是：我们是在与... 
信息简史,https://img9.doubanio.com/view/subject/s/public/s27157636.jpg,8.7,科技,2682,[美] 詹姆斯·格雷克/高博,人民邮电出版社,人民邮电,0,人类与信息遭遇的历史由来已久。詹姆斯•格雷克笔下的这段历史出人意料地从非洲的鼓语讲起（第1章）。非洲土著部落在尚未直接跨越到移动电话之前，曾用鼓声来传递讯息... 
暗淡蓝点-探寻人类的太空家园,https://img9.doubanio.com/view/subject/s/public/s28272164.jpg,8.9,科技,706,卡尔·萨根 (Carl Sagan)/叶式辉、黄一勤,人民邮电出版社,人民邮电,0,全书首先回顾了历史上有关人类在宇宙中地位的种种观念，接着根据20世纪中叶以来空间探测的成就对太阳系作了全方位的考察，然后评估了将人送入太空的种种理由，最后是... 
地理学与生活-全彩插图第11版,https://img9.doubanio.com/view/subject/s/public/s33844356.jpg,8.9,科技,2578,[美] 阿瑟·格蒂斯、[美] 朱迪丝·格蒂斯、[美] 杰尔姆·D.费尔曼/黄润华、韩慕康、孙颖,后浪丨北京联合出版公司,后浪丨北京联合,0,地理学是一门古老的学科，最初仅指地球的绘图与勘查，但发展到今天已经逐渐成为一门范围广泛的学科。本书共十三章，分四篇，囊括自然地理学、人口地理学、文化地理学、... 
恐龙的兴衰-一部失落世界的全新史诗,https://img3.doubanio.com/view/subject/s/public/s33654741.jpg,8.9,科技,303,[美]史蒂夫·布鲁萨特/李凤阳,未读·探索家 天津科学技术出版社,未读·探索家 天津科学技术,0,知名恐龙学者邢立达审校推荐，《侏罗纪世界3》科学顾问，命名15个新物种的古生物学家，打破对恐龙的刻板想象，用化石证据重写恐龙兴衰史恐龙从哪里来？它们如何崛... 
