book_name,book_pic,book_score,book_type,comment_nums,author,publisher,publisher_address,book_price,book_description
皮肤的秘密-关于人体最大器官的一切,https://img2.doubanio.com/view/subject/s/public/s32311632.jpg,8.0,科技,5252,[德]耶尔•阿德勒 (Yael Adler)、[德]卡提雅•史匹哲 (Katja Spitzer )  绘/刘立,东方出版社,东方,0,【2020年文津图书奖推荐图书！】**关于皮肤的17堂课！解读关于人体最大器官的一切！*内附插图，双色印刷，俏皮生动**30多国畅销的科学护肤指南... 
地球上最孤单的动物-43种濒危动物插画集,https://img2.doubanio.com/view/subject/s/public/s33525533.jpg,9.1,科技,1986,[英] 米莉·玛洛塔/孙依静,后浪丨四川美术出版社,后浪丨四川美术,0,芳踪难觅的栗腹鹭，钟爱旅行的勺嘴鹬感情专一的虎尾海马，雌雄难辨的曲纹唇鱼从海洋到森林，由沙漠至淡水从草原到山脉，由湿地至苔原43 种来自全球各地的野... 
复杂生命的起源,https://img9.doubanio.com/view/subject/s/public/s33734635.jpg,9.3,科技,372,[英] 尼克·莱恩（Nick Lane）/严曦,后浪丨贵州大学出版社,后浪丨贵州大学,0,英国皇家学会科学图书奖和生物化学学会奖得主全新力作从生物能量学新探简单细菌一跃变成复杂真核细胞的内共生事件追问40亿年间生命到底为何这样演化◎ 编辑推... 
薄世宁医学通识讲义-一生需要上一次医学院,https://img2.doubanio.com/view/subject/s/public/s33514773.jpg,8.8,科技,2533,薄世宁,中信出版集团,中信,69,医学，面对的是复杂的生命现象，既是最新科学技术的主战场，也是人类自我关怀和探寻生命意义的最前沿。人在一生中，难免要面对疾病的来临与生命的诘问，以医学的思维面... 
中国话,https://img2.doubanio.com/view/subject/s/public/s33788323.jpg,7.8,科技,476,郑子宁,后浪丨九州出版社,后浪丨九州,48,☆侦探小说般层层推进的语言学科普☆九大领域诠释中国话的前世今生☆重新发现中国人的文化史▎编辑推荐九大领域解读中国话的起源与传播重新发现中国人的文化... 
自私的基因,https://img9.doubanio.com/view/subject/s/public/s11214645.jpg,8.5,科技,14326,[英]理查德·道金斯/卢允中、张岱云、陈复加、罗小舟,中信出版社,中信,0,《自私的基因》是20世纪最经典的著作，这版三十周年纪念版，在前版本基础上有两章增补和修订。我们从哪里来，又将到哪里去。生命有何意义，我们该如何认知自己？《自... 
女生呵护指南-一定要知道的关于女生的那些事儿,https://img9.doubanio.com/view/subject/s/public/s33458976.jpg,8.2,科技,3477,六层楼,浙江科学技术出版社,浙江科学技术,78,从“大姨妈”的初次拜访开始，女生就和这位“亲戚”有了扯不断的关系。从小女孩逐渐成长为魅力女性的过程中，除了欣喜和向往，随之而来的还有迷茫、敏感、难言和不安。... 
未来简史,https://img2.doubanio.com/view/subject/s/public/s29287103.jpg,8.4,科技,45894,[以色列] 尤瓦尔·赫拉利/林俊宏,中信出版集团,中信,0,进入21世纪后，曾经长期威胁人类生存、发展的瘟疫、饥荒和战争已经被攻克，智人面临着新的待办议题：永生不老、幸福快乐和成为具有“神性”的人类。在解决这些新问题... 
平面国-多维空间传奇往事,https://img1.doubanio.com/view/subject/s/public/s33710398.jpg,9.2,科技,2874,[英] 埃德温·A·艾勃特/鲁冬旭,上海文化出版社,上海文化,0,"很难简单概括《平面国》这本书。它可以是：首次解释""维度""概念的科普读物、脑洞大开的科幻小说、煞有介事的数学童话、剑走偏锋的精神启蒙、辛辣讽喻英国维多利亚时... "
你是你吃出来的-吃对少生病，病了这样吃,https://img1.doubanio.com/view/subject/s/public/s29845298.jpg,8.9,科技,3621,夏萌,江西科学技术出版社,江西科学技术,49,《你是你吃出来的》是前安贞医院营养科主任夏萌总结自身患病经历和10万 临床病例写成。高血压、高血脂、糖尿病、冠心病等慢病人群都曾陷入同一个误区——误以为低... 
薛兆丰经济学讲义-来自超过25万人的经济学课堂,https://img9.doubanio.com/view/subject/s/public/s29841565.jpg,8.2,科技,12562,薛兆丰,中信出版社,中信,68,我们每天收到无数纷繁复杂的信息，看到各种光怪陆离的现象，世界是复杂的。世界又并不复杂，只是你需要一双慧眼。经济学是一种帮助你成为明白人的智慧，它是观察世界... 
是我把你蠢哭了吗,https://img3.doubanio.com/view/subject/s/public/s33717560.jpg,8.3,科技,320,[英] 迪安·博内特/朱机,后浪丨福建教育出版社,后浪丨福建教育,0,神经科学家戳破大脑的聪明假象人们都以为这东西是聪慧和进步的演化产物，可实际上它又混乱无序又容易犯错！◎ 编辑推荐☆听被科学耽误的单口喜剧演员讲大脑，带... 
上帝掷骰子吗？-量子物理史话,https://img1.doubanio.com/view/subject/s/public/s32344288.jpg,9.0,科技,3122,曹天元,北京联合出版公司,北京联合,59,本书回顾量子论从无到有发展的风云录，从18世纪开始，直到21世纪，一批科学巨人开始颠覆传统物理学大厦，为了宇宙的终极理论而战，大大改变了人类发展的历史。再... 
十万个为什么,https://img1.doubanio.com/view/subject/s/public/s2619779.jpg,9.1,科技,12994,少年儿童出版社,30.00元,30.00元,0,1980年《十万个为什么》开始进行第三次大修订，推出第四版。这次大修订，肯定了初版本的特色，否定了“文革”版本，大体上保持第二版的规模和创作特色，仍是14分... 
万物发明指南-时间旅行者生存手册,https://img1.doubanio.com/view/subject/s/public/s33471187.jpg,8.7,科技,984,[加] 瑞安·诺思/王乔琦,中信出版社,中信,0,如果你忽然发现自己穿越到了只在历史书中读到过的古代，你该怎么办？-面对陌生的原始社会，没有电、没有手机、没有网络……没有任何现代化的工具，你该如何生存下... 
事实-用数据思考，避免情绪化决策,https://img3.doubanio.com/view/subject/s/public/s33129140.jpg,8.0,科技,8839,[瑞典] 汉斯·罗斯林、[瑞典] 欧拉·罗斯林、[瑞典]  安娜·罗斯林·罗朗德/张征,文汇出版社,文汇,0,◆比尔•盖茨送给全美大学生的毕业礼物：一人一本《事实》◆避免情绪化决策！◆颠覆你思维方式的神作，正在席卷全球！畅销近20个国家：美国、英国、德国、日本、... 
重症监护室的故事,https://img9.doubanio.com/view/subject/s/public/s33764566.jpg,8.2,科技,597,【英】马特·摩根/苗小迪 译、赵芳 审校,译林出版社,译林,0,◆重症监护室一线医生写给普通人的急救指南◆细数重症医学历史上的科学飞跃，讲述至暗时刻人类如何绝地求生◆自诞生之日起，重症监护室已经拯救了约5亿人的生命，... 
血疫-埃博拉的故事,https://img1.doubanio.com/view/subject/s/public/s30010617.jpg,8.6,科技,25230,[美] 理查德·普雷斯顿/姚向辉,上海译文出版社,上海译文,0,文明与病毒之间，只隔了一个航班的距离。来自热带雨林的危险病毒，可在24小时内乘飞机抵达地球上的任何城市。航空线路连接了全世界的所有城市，构成网络。埃博拉... 
仿制药的真相,https://img3.doubanio.com/view/subject/s/public/s33736761.jpg,8.7,科技,1870,[美] 凯瑟琳·埃班/高天羽,民主与建设出版社,民主与建设,0,仿制药是在品牌药专利到期之后，合法仿制出来的廉价版本。据称它的成分、效果与品牌药几乎一样。仿制药的广泛应用被誉为“21世纪公共卫生领域最伟大的进步”。如今... 
气候经济与人类未来-比尔·盖茨给世界的解决方案,https://img1.doubanio.com/view/subject/s/public/s33869888.jpg,8.3,科技,420,[美国] 比尔·盖茨/陈召强,中信出版集团,中信,0,比尔·盖茨花了十年时间调研气候变化的成因和影响。在物理学、化学、生物学、工程学、政治学和经济学等领域的专家的支持下，他专注于探索减少温室气体排放的新技术。... 
云彩收集者手册,https://img9.doubanio.com/view/subject/s/public/s29702964.jpg,8.4,科技,5697,[英] 加文·普雷特-平尼/王燕平、张超,译林出版社,译林,0,本书介绍了46种云彩和大气光学现象，并且收录了全世界云彩爱好者 拍摄的百余幅精彩摄影作品。从太空 边缘的神秘夜光云，到我们周围的重重雾霭，都在这本手册之中。... 
中国古代文化常识-插图修订第4版,https://img2.doubanio.com/view/subject/s/public/s27506982.jpg,9.4,科技,2261,王力 主编、马汉麟 等执笔、姜亮夫 叶圣陶 等审校、刘乐园 修订,北京联合出版公司,北京联合,60,◎编辑推荐你知道武王克商的繁复真相么？你知道我们所能见到的有关猫的最早实物么？你知道知名的司母戊鼎有一个假耳朵么？你知道孟姜女姓姜不姓孟么？你知道汉代穿... 
现实不似你所见-量子引力之旅,https://img3.doubanio.com/view/subject/s/public/s29561691.jpg,9.2,科技,3618,[意] 卡洛·罗韦利/杨光,湖南科学技术出版社,湖南科学技术,0,世界的基本组成部分是什么？时间和空间真的存在吗？现实（Reality）的本质是什么？现象级科普畅销书《七堂极简物理课》作者、意大利理论物理学家卡洛·罗韦利以... 
迷人的材料-10种改变世界的神奇物质和它们背后的科学故事,https://img1.doubanio.com/view/subject/s/public/s28277258.jpg,8.3,科技,4274,马克·米奥多尼克/赖盈满,未读·探索家·北京联合出版公司,未读·探索家·北京联合,0,从茶杯、喷气发动机到家用电器、内裤，我们的生活充满了材料。但你想过没有，为什么玻璃是透明的？是什么让橡皮筋有弹性？为什么曲别针会弯曲？为什么不锈钢不生锈？水... 
这里是中国,https://img9.doubanio.com/view/subject/s/public/s33501396.jpg,8.2,科技,4950,星球研究所、中国青藏高原研究会,中信出版集团,中信,168,《这里是中国》由星球研究所近3年积累而成国内第一部全视野中国地理科普著作庆祝中华人民共和国成立70周年，提升国民视野，传承核心价值观书架上的中国纪录片... 
费马大定理-一个困惑了世间智者358年的谜,https://img1.doubanio.com/view/subject/s/public/s24562968.jpg,9.2,科技,2680,西蒙·辛格/薛密,广西师范大学出版社,广西师范大学,0,【编辑推荐】★畅销5年，加印10次，万条评论，豆瓣9.2分！★被誉为“科普作品中的武侠小说”“好莱坞感的数学史”的经典之作！★改变你对数学的刻板印象，... 
七堂极简物理课,https://img9.doubanio.com/view/subject/s/public/s28627105.jpg,8.3,科技,11261,[意] 卡洛·罗韦利/文铮、陶慧慧,博集天卷 | 湖南科学技术出版社,博集天卷 | 湖南科学技术,0,在本书中，意大利物理学家卡洛•罗韦利，用诗一般简洁优美的语言，向读者讲述了20世纪以来现代物理学的伟大理论发现。相对论、量子力学、宇宙的结构、空间的颗粒、时... 
只有医生知道!-@协和张羽 发给天下女人的私信,https://img1.doubanio.com/view/subject/s/public/s24511478.jpg,8.5,科技,13667,张羽,江苏人民出版社,江苏人民,35,这是一本有关女性的百科全书。抱着“大医治未病”的愿景，作者通过一个个生动的故事，在幽默而不乏温情的叙述中，力图帮助女性真正了解自己的身体，懂得爱护并且知道如... 
小岛经济学-鱼、美元和经济的故事,https://img9.doubanio.com/view/subject/s/public/s29585484.jpg,8.1,科技,3675,彼得·希夫、安德鲁·希夫/胡晓姣、吕靖纬、陈志超,中信出版集团股份有限公司,中信,0,你一定非常想知道：通货膨胀到底是怎么来的？为什么中国要购买那么多的美国国债？扭转恶化的经济状况是该花钱，还是存钱？为什么有些国家很富有，而另外一些国家... 
